Command	Test program	Args	Test type	time - real	time - user	time - sys	/usr/bin/time - Command being timed	/usr/bin/time - User time (seconds)	/usr/bin/time - System time (seconds)	/usr/bin/time - Percent of CPU this job got	/usr/bin/time - Elapsed (wall clock) time (h:mm:ss or m:ss)	/usr/bin/time - Average shared text size (kbytes)	/usr/bin/time - Average unshared data size (kbytes)	/usr/bin/time - Average stack size (kbytes)	/usr/bin/time - Average total size (kbytes)	/usr/bin/time - Maximum resident set size (kbytes)	/usr/bin/time - Average resident set size (kbytes)	/usr/bin/time - Major (requiring I/O) page faults	/usr/bin/time - Minor (reclaiming a frame) page faults	/usr/bin/time - Voluntary context switches	/usr/bin/time - Involuntary context switches	/usr/bin/time - Swaps	/usr/bin/time - File system inputs	/usr/bin/time - File system outputs	/usr/bin/time - Socket messages sent	/usr/bin/time - Socket messages received	/usr/bin/time - Signals delivered	/usr/bin/time - Page size (bytes)	/usr/bin/time - Exit status	date +%s%N -  nanoseconds	date +%s%N -  picoseconds	date +%s%N -  miliseconds	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe	return_0.exe		native	0m0.000s	0m0.000s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe"	0.00	0.00	79%	0:00.00	0	0	0	0	764	0	0	38	9	0	0	0	0	0	0	0	4096	0	886492ns 	886us 	0ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/cpu_single_thread_no_op_loop.exe 1000000	cpu_single_thread_no_op_loop.exe	1000000	native	0m0.001s	0m0.001s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/cpu_single_thread_no_op_loop.exe 1000000"	0.00	0.00	92%	0:00.00	0	0	0	0	1580	0	0	57	9	0	0	0	0	0	0	0	4096	0	1403672ns 	1403us 	1ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/prime_number.exe 919393	prime_number.exe	919393	native	0m0.002s	0m0.000s	0m0.002s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/prime_number.exe 919393"	0.00	0.00	100%	0:00.00	0	0	0	0	1584	0	0	58	9	0	0	0	0	0	0	0	4096	0	2789211ns 	2789us 	2ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/matrix_addition_single_multi.exe 10000 10 1 multi	matrix_addition_single_multi.exe	10000 10 1 multi	native	0m0.001s	0m0.001s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/matrix_addition_single_multi.exe 10000 10 1 multi"	0.00	0.00	127%	0:00.00	0	0	0	0	1760	0	0	98	17	0	0	0	0	0	0	0	4096	0	1008050ns 	1008us 	1ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/cpu_multi_thread_no_op_loop 1000000000 12	cpu_multi_thread_no_op_loop	1000000000 12	native	0m0.960s	0m11.341s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/cpu_multi_thread_no_op_loop 1000000000 12"	11.33	0.00	1185%	0:00.95	0	0	0	0	3732	0	0	168	17	552	0	0	0	0	0	0	4096	0	956986986ns 	956986us 	956ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/prime_number.exe 2147483647	prime_number.exe	2147483647	native	0m4.073s	0m4.073s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/prime_number.exe 2147483647"	4.07	0.00	100%	0:04.07	0	0	0	0	1580	0	0	57	11	15	0	0	0	0	0	0	4096	0	4082024686ns 	4082024us 	4082ms	




Command	Test program	Args	Test type	time - real	time - user	time - sys	/usr/bin/time - Command being timed	/usr/bin/time - User time (seconds)	/usr/bin/time - System time (seconds)	/usr/bin/time - Percent of CPU this job got	/usr/bin/time - Elapsed (wall clock) time (h:mm:ss or m:ss)	/usr/bin/time - Average shared text size (kbytes)	/usr/bin/time - Average unshared data size (kbytes)	/usr/bin/time - Average stack size (kbytes)	/usr/bin/time - Average total size (kbytes)	/usr/bin/time - Maximum resident set size (kbytes)	/usr/bin/time - Average resident set size (kbytes)	/usr/bin/time - Major (requiring I/O) page faults	/usr/bin/time - Minor (reclaiming a frame) page faults	/usr/bin/time - Voluntary context switches	/usr/bin/time - Involuntary context switches	/usr/bin/time - Swaps	/usr/bin/time - File system inputs	/usr/bin/time - File system outputs	/usr/bin/time - Socket messages sent	/usr/bin/time - Socket messages received	/usr/bin/time - Signals delivered	/usr/bin/time - Page size (bytes)	/usr/bin/time - Exit status	date +%s%N -  nanoseconds	date +%s%N -  picoseconds	date +%s%N -  miliseconds	
unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks /return_0.exe	return_0.exe		speed	0m0.001s	0m0.001s	0m0.000s	"unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks /return_0.exe"	0.00	0.00	0%	0:00.00	0	0	0	0	2012	0	0	152	16	1	0	0	0	0	0	0	4096	0	1686543ns 	1686us 	1ms	
podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks:/ --entrypoint /return_0.exe empty_container	return_0.exe		speed	0m0.246s	0m0.043s	0m0.033s	"podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks:/ --entrypoint /return_0.exe empty_container"	0.05	0.02	31%	0:00.23	0	0	0	0	43392	0	0	7280	1802	42	0	0	840	0	0	0	4096	0	337376440ns 	337376us 	337ms	
bwrap --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks / /return_0.exe	return_0.exe		speed	0m0.002s	0m0.001s	0m0.000s	"bwrap --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks / /return_0.exe"	0.00	0.00	0%	0:00.00	0	0	0	0	2004	0	0	122	2	0	0	0	0	0	0	0	4096	0	2434126ns 	2434us 	2ms	
systemd-run --user --wait -p 'NoNewPrivileges=true' -p 'MemoryDenyWriteExecute=true' -p 'PrivateUsers=true' -p 'SecureBits= keep-caps-locked no-setuid-fixup-locked noroot noroot-locked' -p 'CapabilityBoundingSet=' -p 'AmbientCapabilities=' /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe	return_0.exe		speed	0m0.005s	0m0.002s	0m0.000s	"systemd-run --user --wait -p NoNewPrivileges=true -p MemoryDenyWriteExecute=true -p PrivateUsers=true -p SecureBits= keep-caps-locked no-setuid-fixup-locked noroot noroot-locked -p CapabilityBoundingSet= -p AmbientCapabilities= /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe"	0.00	0.00	25%	0:00.00	0	0	0	0	6988	0	0	392	26	0	0	0	0	0	0	0	4096	0	5177632ns 	5177us 	5ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --host-filesystem --no-seccomp --keep-privs /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe	return_0.exe		speed	0m0.001s	0m0.001s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --host-filesystem --no-seccomp --keep-privs /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe"	0.00	0.00	87%	0:00.00	0	0	0	0	1564	0	0	111	16	0	0	0	0	0	0	0	4096	0	1189822ns 	1189us 	1ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --fork --host-filesystem --no-seccomp /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe	return_0.exe		speed	0m0.001s	0m0.001s	0m0.000s	"/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --fork --host-filesystem --no-seccomp /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/return_0.exe"	0.00	0.00	100%	0:00.00	0	0	0	0	1492	0	0	159	19	2	0	0	0	0	0	0	4096	0	1839951ns 	1839us 	1ms	
unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks /cpu_single_thread_no_op_loop.exe 1000000	cpu_single_thread_no_op_loop.exe	1000000	speed	0m0.002s	0m0.002s	0m0.000s	"unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks /cpu_single_thread_no_op_loop.exe 1000000"	0.00	0.00	100%	0:00.00	0	0	0	0	1888	0	0	165	16	4	0	0	0	0	0	0	4096	0	2430989ns 	2430us 	2ms	
podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks:/ --entrypoint /cpu_single_thread_no_op_loop.exe empty_container 1000000	cpu_single_thread_no_op_loop.exe	1000000	speed	0m0.353s	0m0.051s	0m0.028s	"podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks:/ --entrypoint /cpu_single_thread_no_op_loop.exe empty_container 1000000"	0.04	0.03	31%	0:00.24	0	0	0	0	43032	0	0	7205	1683	37	0	0	840	0	0	0	4096	0	248161125ns 	248161us 	248ms	
bwrap --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks / /cpu_single_thread_no_op_loop.exe 1000000	cpu_single_thread_no_op_loop.exe	1000000	speed	0m0.003s	0m0.001s	0m0.000s	"bwrap --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks / /cpu_single_thread_no_op_loop.exe 1000000"	0.00	0.00	50%	0:00.00	0	0	0	0	2064	0	0	124	2	3	0	0	0	0	0	0	4096	0	3167522ns 	3167us 	3ms	
