Command 	Test_program 	Args 	Type 	Exit_code 	Nanoseconds 	Microseconds 	Miliseconds 	Runtime_startup_time_miliseconds
google-chrome --incognito 	prime_number 	919393 	web_wasm 	0 	 	5269.999999552965 1925.000000745058 	5.269999999552965 1.925000000745058 	56.309999998658895
google-chrome --incognito 	prime_number 	2147483647 	web_wasm 	0 	 	4078984.999999404 4081000 	4078.984999999404 4081 	48.44500000029802
google-chrome --incognito 	matrix_addition_single_multi 	10000 10 1 multi 	web_wasm 	0 	 	1859.9999994039536 510.00000163912773 	1.8599999994039536 0.5100000016391277 	55.44500000029802
google-chrome --incognito 	cpu_multi_thread_no_op_loop 	1000000000 12 	web_wasm 	0 	 	5018129.999998957 1247309.999998659 	5018.129999998957 1247.309999998659 	90.88500000163913
google-chrome --incognito 	prime_number_multi 	2147483647 12 	web_wasm 	0 	 	23208649.99999851 8432664.999999106 	23208.64999999851 8432.664999999106 	53.39000000059605
google-chrome --incognito 	fibonnaci_multi 	999999999 12 	web_wasm 	0 	 	10473585.000000894 2729460.000000894 	10473.585000000894 2729.460000000894 	39.03500000014901
chromium --incognito 	return_0 	 	web_wasm 	0 	 	464.9999998509884 80.00000193715096 70.00000029802322 54.999999701976776 35.00000014901161 15.000000596046448 19.999999552965164 24.99999850988388 20.000003278255463 30.000001192092896 25.00000223517418 15.000000596046448 19.999999552965164 15.000000596046448 15.000000596046448 15.000000596046448 25.00000223517418 19.999999552965164 9.999997913837433 24.99999850988388 14.99999687075615 15.000000596046448 24.99999850988388 15.000000596046448 10.000001639127731 4.999998956918716 10.000001639127731 4.999998956918716 4.999998956918716 0 4.999998956918716 10.000001639127731 4.999998956918716 10.000001639127731 4.999998956918716 4.999998956918716 10.000001639127731 9.999997913837433 5.000002682209015 4.999998956918716 5.000002682209015 4.999998956918716 10.000001639127731 0 9.999997913837433 5.000002682209015 9.999997913837433 5.000002682209015 4.999998956918716 4.999998956918716 5.000002682209015 4.999998956918716 10.000001639127731 4.999998956918716 10.000001639127731 9.999997913837433 5.000002682209015 4.999998956918716 9.999997913837433 4.999998956918716 4.999998956918716 10.000001639127731 4.999998956918716 10.000001639127731 4.999998956918716 4.999998956918716 5.000002682209015 4.999998956918716 10.000001639127731 4.999998956918716 5.000002682209015 4.999998956918716 10.000001639127731 4.999998956918716 0 5.000002682209015 9.999997913837433 4.999998956918716 5.000002682209015 10.000001639127731 4.999998956918716 9.999997913837433 5.000002682209015 9.999997913837433 10.000001639127731 4.999998956918716 5.000002682209015 4.999998956918716 0 4.999998956918716 9.999997913837433 10.000001639127731 4.999998956918716 4.999998956918716 4.999998956918716 10.000001639127731 4.999998956918716 9.999997913837433 10.000001639127731 4.999998956918716 	0.4649999998509884 0.08000000193715096 0.07000000029802322 0.054999999701976776 0.03500000014901161 0.015000000596046448 0.019999999552965164 0.02499999850988388 0.020000003278255463 0.030000001192092896 0.02500000223517418 0.015000000596046448 0.019999999552965164 0.015000000596046448 0.015000000596046448 0.015000000596046448 0.02500000223517418 0.019999999552965164 0.009999997913837433 0.02499999850988388 0.01499999687075615 0.015000000596046448 0.02499999850988388 0.015000000596046448 0.010000001639127731 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.004999998956918716 0 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.004999998956918716 0.010000001639127731 0.009999997913837433 0.005000002682209015 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.010000001639127731 0 0.009999997913837433 0.005000002682209015 0.009999997913837433 0.005000002682209015 0.004999998956918716 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.010000001639127731 0.009999997913837433 0.005000002682209015 0.004999998956918716 0.009999997913837433 0.004999998956918716 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.005000002682209015 0.004999998956918716 0.010000001639127731 0.004999998956918716 0 0.005000002682209015 0.009999997913837433 0.004999998956918716 0.005000002682209015 0.010000001639127731 0.004999998956918716 0.009999997913837433 0.005000002682209015 0.009999997913837433 0.010000001639127731 0.004999998956918716 0.005000002682209015 0.004999998956918716 0 0.004999998956918716 0.009999997913837433 0.010000001639127731 0.004999998956918716 0.004999998956918716 0.004999998956918716 0.010000001639127731 0.004999998956918716 0.009999997913837433 0.010000001639127731 0.004999998956918716 	56.059999998658895
chromium --incognito 	cpu_single_thread_no_op_loop 	1000000 	web_wasm 	0 	 	6295.000001788139 2195.000000298023 	6.295000001788139 2.1950000002980232 	76.8150000013411
chromium --incognito 	prime_number 	919393 	web_wasm 	0 	 	6080.000001937151 2164.9999991059303 	6.080000001937151 2.1649999991059303 	68.25
chromium --incognito 	prime_number 	2147483647 	web_wasm 	0 	 	4874864.999998361 4902280.000001192 	4874.864999998361 4902.280000001192 	57.564999997615814
chromium --incognito 	matrix_addition_single_multi 	10000 10 1 multi 	web_wasm 	0 	 	2074.999999254942 530.0000011920929 	2.074999999254942 0.5300000011920929 	64.33500000089407
chromium --incognito 	cpu_multi_thread_no_op_loop 	1000000000 12 	web_wasm 	0 	 	6722865.000002086 2743025.000002235 	6722.865000002086 2743.025000002235 	67.85499999672174
chromium --incognito 	prime_number_multi 	2147483647 12 	web_wasm 	0 	 	23851045.00000179 8765165.000002831 	23851.045000001788 8765.165000002831 	65.83499999716878
chromium --incognito 	fibonnaci_multi 	999999999 12 	web_wasm 	0 	 	18114080.000001937 5321109.999999404 	18114.080000001937 5321.109999999404 	45.144999999552965
/home/caioh/Downloads/firefox/firefox --private 	return_0 	 	web_wasm 	0 	 	179.9999999999784 60.000000000002274 20.000000000010232 60.000000000002274 39.99999999999204 100.00000000002274 19.99999999998181 20.000000000010232 20.000000000010232 20.000000000010232 60.000000000002274 20.000000000010232 20.000000000010232 19.99999999998181 0 0 0 0 0 19.99999999998181 20.000000000010232 0 20.000000000010232 0 0 0 0 20.000000000010232 0 19.99999999998181 20.000000000010232 0 20.000000000010232 19.99999999998181 0 20.000000000010232 0 0 320.0000000000216 0 19.99999999998181 0 0 20.000000000010232 0 19.99999999998181 0 0 20.000000000010232 20.000000000010232 19.99999999998181 0 20.000000000010232 0 0 20.000000000010232 0 0 19.99999999998181 0 0 20.000000000010232 0 0 20.000000000010232 0 19.99999999998181 0 0 20.000000000010232 0 0 19.99999999998181 0 0 20.000000000010232 0 0 20.000000000010232 0 0 19.99999999998181 0 40.000000000020464 0 19.99999999998181 0 0 20.000000000010232 0 0 0 0 19.99999999998181 0 0 20.000000000010232 0 20.000000000010232 180.00000000000682 	0.1799999999999784 0.060000000000002274 0.020000000000010232 0.060000000000002274 0.03999999999999204 0.10000000000002274 0.01999999999998181 0.020000000000010232 0.020000000000010232 0.020000000000010232 0.060000000000002274 0.020000000000010232 0.020000000000010232 0.01999999999998181 0 0 0 0 0 0.01999999999998181 0.020000000000010232 0 0.020000000000010232 0 0 0 0 0.020000000000010232 0 0.01999999999998181 0.020000000000010232 0 0.020000000000010232 0.01999999999998181 0 0.020000000000010232 0 0 0.3200000000000216 0 0.01999999999998181 0 0 0.020000000000010232 0 0.01999999999998181 0 0 0.020000000000010232 0.020000000000010232 0.01999999999998181 0 0.020000000000010232 0 0 0.020000000000010232 0 0 0.01999999999998181 0 0 0.020000000000010232 0 0 0.020000000000010232 0 0.01999999999998181 0 0 0.020000000000010232 0 0 0.01999999999998181 0 0 0.020000000000010232 0 0 0.020000000000010232 0 0 0.01999999999998181 0 0.040000000000020464 0 0.01999999999998181 0 0 0.020000000000010232 0 0 0 0 0.01999999999998181 0 0 0.020000000000010232 0 0.020000000000010232 0.18000000000000682 	61.97999999999999
/home/caioh/Downloads/firefox/firefox --private 	cpu_single_thread_no_op_loop 	1000000 	web_wasm 	0 	 	3259.999999999991 3099.9999999999945 	3.259999999999991 3.0999999999999943 	86.3
/home/caioh/Downloads/firefox/firefox --private 	prime_number 	919393 	web_wasm 	0 	 	2620.0000000000045 2500 	2.6200000000000045 2.5 	73.74000000000001
/home/caioh/Downloads/firefox/firefox --private 	prime_number 	2147483647 	web_wasm 	0 	 	20517440.000000004 5084520 	20517.440000000002 5084.52 	71.67999999999999
/home/caioh/Downloads/firefox/firefox --private 	matrix_addition_single_multi 	10000 10 1 multi 	web_wasm 	0 	 	1560.0000000000023 980.000000000004 	1.5600000000000023 0.980000000000004 	73.72
/home/caioh/Downloads/firefox/firefox --private 	cpu_multi_thread_no_op_loop 	1000000000 12 	web_wasm 	0 	 	3184320 3151760 	3184.32 3151.76 	80.82
/home/caioh/Downloads/firefox/firefox --private 	prime_number_multi 	2147483647 12 	web_wasm 	0 	 	9064140.000000002 8924999.999999998 	9064.140000000001 8924.999999999998 	78.88
/home/caioh/Downloads/firefox/firefox --private 	fibonnaci_multi 	999999999 12 	web_wasm 	0 	 	5444600 5267800 	5444.6 5267.8 	41.3
