Command	Test program	Args	Test type	time - real	time - user	time - sys	/usr/bin/time - Command being timed	/usr/bin/time - User time (seconds)	/usr/bin/time - System time (seconds)	/usr/bin/time - Percent of CPU this job got	/usr/bin/time - Elapsed (wall clock) time (h:mm:ss or m:ss)	/usr/bin/time - Average shared text size (kbytes)	/usr/bin/time - Average unshared data size (kbytes)	/usr/bin/time - Average stack size (kbytes)	/usr/bin/time - Average total size (kbytes)	/usr/bin/time - Maximum resident set size (kbytes)	/usr/bin/time - Average resident set size (kbytes)	/usr/bin/time - Major (requiring I/O) page faults	/usr/bin/time - Minor (reclaiming a frame) page faults	/usr/bin/time - Voluntary context switches	/usr/bin/time - Involuntary context switches	/usr/bin/time - Swaps	/usr/bin/time - File system inputs	/usr/bin/time - File system outputs	/usr/bin/time - Socket messages sent	/usr/bin/time - Socket messages received	/usr/bin/time - Signals delivered	/usr/bin/time - Page size (bytes)	/usr/bin/time - Exit status	date +%s%N -  nanoseconds	date +%s%N -  picoseconds	date +%s%N -  miliseconds	
Command	Test program	Args	Test type	time - real	time - user	time - sys	/usr/bin/time - Command being timed	/usr/bin/time - User time (seconds)	/usr/bin/time - System time (seconds)	/usr/bin/time - Percent of CPU this job got	/usr/bin/time - Elapsed (wall clock) time (h:mm:ss or m:ss)	/usr/bin/time - Average shared text size (kbytes)	/usr/bin/time - Average unshared data size (kbytes)	/usr/bin/time - Average stack size (kbytes)	/usr/bin/time - Average total size (kbytes)	/usr/bin/time - Maximum resident set size (kbytes)	/usr/bin/time - Average resident set size (kbytes)	/usr/bin/time - Major (requiring I/O) page faults	/usr/bin/time - Minor (reclaiming a frame) page faults	/usr/bin/time - Voluntary context switches	/usr/bin/time - Involuntary context switches	/usr/bin/time - Swaps	/usr/bin/time - File system inputs	/usr/bin/time - File system outputs	/usr/bin/time - Socket messages sent	/usr/bin/time - Socket messages received	/usr/bin/time - Signals delivered	/usr/bin/time - Page size (bytes)	/usr/bin/time - Exit status	date +%s%N -  nanoseconds	date +%s%N -  picoseconds	date +%s%N -  miliseconds	
unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe	return_0.exe		speed	0m0.001s	0m0.001s	0m0.000s	unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe	0.00	0.00	100%	0:00.00	0	0	0	0	2112	0	0	150	18	1	0	0	0	0	0	0	4096	0	1682379ns 	1682us 	1ms	
unshare -muinpUCT --fork --map-root-user setpriv --nnp --securebits +noroot,+noroot_locked,+no_setuid_fixup_locked,+keep_caps_locked /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	return_0.exe		speed	0m0.002s	0m0.001s	0m0.001s	unshare -muinpUCT --fork --map-root-user setpriv --nnp --securebits +noroot.+noroot_locked.+no_setuid_fixup_locked.+keep_caps_locked /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	0.00	0.00	100%	0:00.00	0	0	0	0	2392	0	0	234	13	1	0	0	0	0	0	0	4096	0	2063144ns 	2063us 	2ms	
setpriv --nnp unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe	return_0.exe		speed	0m0.001s	0m0.001s	0m0.000s	setpriv --nnp unshare -muinpUCT --fork --map-current-user -R /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe	0.00	0.00	100%	0:00.00	0	0	0	0	2144	0	0	229	17	1	0	0	0	0	0	0	4096	0	1807845ns 	1807us 	1ms	
podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir:/ --entrypoint /return_0.exe empty_container	return_0.exe		speed	0m0.246s	0m0.050s	0m0.026s	podman run --rm -ti --volume /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir:/ --entrypoint /return_0.exe empty_container	0.04	0.02	19%	0:00.34	0	0	0	0	42924	0	0	6552	1661	17	0	0	400	0	0	0	4096	0	258674829ns 	258674us 	258ms	
bwrap --new-session --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir / /return_0.exe	return_0.exe		speed	0m0.002s	0m0.000s	0m0.001s	bwrap --new-session --unshare-all --cap-drop all --ro-bind /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir / /return_0.exe	0.00	0.00	100%	0:00.00	0	0	0	0	2204	0	0	126	2	0	0	0	0	0	0	0	4096	0	2566078ns 	2566us 	2ms	
systemd-run --user --wait --collect -p NoNewPrivileges=true -p MemoryDenyWriteExecute=true -p PrivateUsers=true -p SecureBits= keep-caps-locked no-setuid-fixup-locked noroot noroot-locked -p CapabilityBoundingSet= -p AmbientCapabilities= /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	return_0.exe		speed	0m0.005s	0m0.002s	0m0.000s	systemd-run --user --wait --collect -p NoNewPrivileges=true -p MemoryDenyWriteExecute=true -p PrivateUsers=true -p SecureBits= keep-caps-locked no-setuid-fixup-locked noroot noroot-locked -p CapabilityBoundingSet= -p AmbientCapabilities= /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	0.00	0.00	50%	0:00.00	0	0	0	0	6792	0	0	391	27	1	0	0	0	0	0	0	4096	0	5162034ns 	5162us 	5ms	
systemd-run --user --wait --collect -p SystemCallFilter=rt_sigaction uname arch_prctl mmap execve rseq rt_sigprocmask prlimit64 brk ioctl mprotect set_robust_list write munmap readlink futex madvise clone3 set_tid_address getrandom newfstatat exit_group exit -p NoNewPrivileges=true -p MemoryDenyWriteExecute=true -p PrivateUsers=true -p SecureBits= keep-caps-locked no-setuid-fixup-locked noroot noroot-locked -p CapabilityBoundingSet= -p AmbientCapabilities= /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	return_0.exe		speed	0m0.006s	0m0.000s	0m0.002s	systemd-run --user --wait --collect -p SystemCallFilter=rt_sigaction uname arch_prctl mmap execve rseq rt_sigprocmask prlimit64 brk ioctl mprotect set_robust_list write munmap readlink futex madvise clone3 set_tid_address getrandom newfstatat exit_group exit -p NoNewPrivileges=true -p MemoryDenyWriteExecute=true -p PrivateUsers=true -p SecureBits= keep-caps-locked no-setuid-fixup-locked noroot noroot-locked -p CapabilityBoundingSet= -p AmbientCapabilities= /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	0.00	0.00	20%	0:00.00	0	0	0	0	6936	0	0	394	28	0	0	0	0	0	0	0	4096	0	6382556ns 	6382us 	6ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --fork --host-filesystem --no-seccomp /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	return_0.exe		speed	0m0.001s	0m0.000s	0m0.001s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --fork --host-filesystem --no-seccomp /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir/return_0.exe	0.00	0.00	100%	0:00.00	0	0	0	0	1516	0	0	158	19	1	0	0	0	0	0	0	4096	0	1757681ns 	1757us 	1ms	
/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --fork --no-seccomp --pivot-root /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe	return_0.exe		speed	0m0.002s	0m0.001s	0m0.000s	/media/caioh/EXTERNAL_HDD1/TCC_CAIO/seccomp/exec_program_seccomp --unshare all --fork --no-seccomp --pivot-root /media/caioh/EXTERNAL_HDD1/TCC_CAIO/site_testes_pequenos_performance/C_CPP_Benchmarks/executable_dir /return_0.exe	0.00	0.00	100%	0:00.00	0	0	0	0	1492	0	0	160	36	3	0	0	0	0	0	0	4096	0	1899437ns 	1899us 	1ms	
