Test_name	Program_args	Time_to_start_wasm_runtime_miliseconds	Timings_miliseconds	Avg_with_first_run	Avg_no_first_run
return_0		70.96000000000001ms	0.2400000000000091ms 0.12000000000000455ms 0.03999999999999204ms 0.12000000000000455ms	0.13000000000000256ms	0.09333333333333371ms
cpu_single_thread_no_op_loop	1000000	118.16ms	3.3600000000000136ms 3.059999999999974ms 3.0200000000000102ms 3.180000000000007ms	3.155000000000001ms	3.086666666666664ms
prime_number	919393	74.6ms	9.340000000000003ms 2.519999999999996ms 2.4399999999999977ms 2.5400000000000063ms	4.210000000000001ms	2.5ms
prime_number	2147483647	77.88ms	5083.48ms 5083.539999999999ms 5083.02ms 5084.280000000001ms	5083.58ms	5083.613333333334ms
matrix_addition_single_multi	10000 10 1 multi	78.48ms	1.6400000000000006ms 1ms 0.8400000000000034ms 0.9399999999999977ms	1.1050000000000004ms	0.9266666666666671ms
cpu_multi_thread_no_op_loop	1000000000 12	76.52ms	3014.3399999999997ms 3255.74ms 3087.9000000000005ms 3164.119999999999ms	3130.5249999999996ms	3169.2533333333326ms
prime_number_multi	2147483647 12	78.74000000000001ms	8950.86ms 8928.78ms 8965.54ms 8928.399999999998ms	8943.395ms	8940.906666666666ms
fibonnaci_multi	999999999 12	45.92ms	5168.72ms 5240.960000000001ms 5194.719999999999ms 5175.139999999999ms	5194.885ms	5203.606666666667ms

