Test_name	Program_args	Time_to_start_wasm_runtime_miliseconds	Timings_miliseconds	Avg_with_first_run	Avg_no_first_run
return_0		36.9250000002794ms	0.060000000055879354ms 0.01500000013038516ms 0.014999999664723873ms 0.01500000013038516ms	0.026249999995343387ms	0.014999999975164732ms
cpu_single_thread_no_op_loop	1000000	115.60000000009313ms	3.4799999999813735ms 0.7849999996833503ms 0.7400000002235174ms 0.6650000000372529ms	1.4174999999813735ms	0.7299999999813735ms
prime_number	919393	82.06499999994412ms	5.004999999888241ms 1.9249999998137355ms 1.944999999832362ms 1.8900000001303852ms	2.691249999916181ms	1.9199999999254942ms
prime_number	2147483647	52.60000000009313ms	4073.3549999999814ms 4072.3950000000186ms 4072.260000000242ms 4072.314999999944ms	4072.5812500000466ms	4072.3233333334015ms
matrix_addition_single_multi	10000 10 1 multi	92.21500000031665ms	1.709999999962747ms 0.5099999997764826ms 0.375ms 0.3300000000745058ms	0.7312499999534339ms	0.4049999999503295ms
cpu_multi_thread_no_op_loop	1000000000 12	143.00499999988824ms	4576.195000000298ms 1288.4350000000559ms 1291.1949999998324ms 1303.279999999795ms	2114.7762499999953ms	1294.3033333332278ms
prime_number_multi	2147483647 12	75.18499999959022ms	23846.970000000205ms 8298.970000000205ms 8501.540000000037ms 8463.950000000186ms	12277.857500000158ms	8421.48666666681ms
fibonnaci_multi	999999999 12	62.510000000242144ms	9828.534999999683ms 2742.829999999609ms 2729.8300000000745ms 2739.4849999998696ms	4510.169999999809ms	2737.3816666665175ms

