Test_name	Program_args	Time_to_start_wasm_runtime_miliseconds	Timings_miliseconds	Avg_with_first_run	Avg_no_first_run
return_0		36.03499999921769ms	0.05999999959021807ms 0.015000000596046448ms 0.014999999664723873ms 0.009999999776482582ms	0.024999999906867743ms	0.013333333345750967ms
cpu_single_thread_no_op_loop	1000000	94.375ms	3.485000000335276ms 0.7850000001490116ms 0.724999999627471ms 0.6699999999254942ms	1.4162500000093132ms	0.7266666665673256ms
prime_number	919393	64.65500000026077ms	5.259999999776483ms 1.934999999590218ms 1.9199999999254942ms 1.8650000002235174ms	2.744999999878928ms	1.9066666665797432ms
prime_number	2147483647	53.049999999813735ms	4075.4500000001863ms 4073.160000000149ms 4072.4950000001118ms 4072.3950000004843ms	4073.375000000233ms	4072.6833333335817ms
matrix_addition_single_multi	10000 10 1 multi	63.34999999962747ms	1.6800000006332994ms 0.5499999998137355ms 0.4599999999627471ms 0.4150000000372529ms	0.7762500001117587ms	0.4749999999379118ms
cpu_multi_thread_no_op_loop	1000000000 12	89.76999999955297ms	4767.44000000041ms 1291.9400000004098ms 1284.089999999851ms 1300.7350000003353ms	2161.0512500002515ms	1292.2550000001986ms
prime_number_multi	2147483647 12	60.91000000014901ms	23373.03500000015ms 8520.69000000041ms 8619.65500000026ms 8411.274999999441ms	12231.163750000065ms	8517.206666666703ms
fibonnaci_multi	999999999 12	41.49000000022352ms	6589.5800000000745ms 2786.7800000002608ms 2807.4550000000745ms 2737.5099999997765ms	3730.3312500000466ms	2777.2483333333707ms

